userID,articleID
0,632
0,2212
0,1282
0,1046
0,1417
0,991
0,991
0,2156
0,1204
0,85
0,2156
0,898
0,2185
0,1691
0,2212
0,846
0,1146
0,2156
0,2713
0,1282
0,2713
0,390
0,390
0,2332
0,701
0,1547
0,2642
0,1204
0,1727
0,1652
0,1176
0,2864
0,2156
0,2688
0,390
1,1344
1,191
1,2298
1,1467
1,2383
1,1160
1,2746
1,2743
1,1993
1,2208
2,2394
2,2685
2,1825
2,2685
2,1825
2,2685
2,2685
2,959
2,1500
2,1542
2,2685
2,2685
2,1542
2,2666
2,959
2,2685
2,2685
2,2685
2,2685
2,959
2,2685
2,1964
2,2685
2,2685
2,959
3,2019
3,1049
3,918
3,1777
4,163
4,2160
4,659
4,1239
4,2802
4,1816
4,872
4,1860
4,872
4,766
4,1860
4,2771
4,2032
4,1991
4,1448
4,872
4,1375
5,2479
5,1210
5,2160
5,1507
5,539
5,891
5,2125
5,1507
5,2874
5,986
5,1371
5,172
5,1477
5,1294
5,932
5,2125
5,1507
5,2125
6,917
6,1056
6,2632
6,1550
6,561
6,1043
6,917
6,297
6,2632
6,1408
6,1455
6,1640
6,218
6,721
6,1640
6,2281
6,1550
6,2779
6,2632
6,1016
6,971
6,725
6,23
6,1550
6,439
7,1445
7,2537
7,528
7,840
7,1114
7,668
7,140
7,840
7,2069
7,939
7,2505
7,668
7,253
7,637
8,379
8,1712
8,379
8,1665
8,1597
8,1550
8,662
8,1375
8,1183
8,1550
8,1665
8,2346
8,2482
8,379
8,1713
8,379
8,1923
8,1210
8,2431
8,2011
8,1550
8,620
8,1923
8,1550
8,1923
8,2223
8,2298
8,1837
8,1550
8,743
9,1517
9,2746
9,565
10,2844
10,102
10,319
10,2876
10,1445
10,1741
10,2702
10,812
10,2584
10,1201
10,1067
10,2584
10,1597
10,2098
10,1775
10,1122
10,2584
10,37
10,2254
10,1477
10,2519
10,214
10,2422
10,1621
10,696
10,102
10,2546
10,2098
10,591
10,2278
10,57
10,2085
10,120
10,2805
10,1197
10,2810
10,1991
10,755
10,2542
10,2100
10,1122
10,2805
11,698
11,1878
11,2666
11,2666
11,977
11,2466
11,2795
12,2605
12,201
12,1472
12,1472
12,1318
12,480
12,473
12,1935
12,2005
12,2005
13,9
13,209
13,1454
13,2723
13,2723
13,1573
13,2160
13,675
13,675
13,9
14,1375
14,1303
14,1805
14,1972
14,166
14,2673
14,325
14,759
14,401
14,1922
14,2673
14,2760
14,2673
14,350
14,1805
14,34
14,1394
14,1303
14,347
14,1937
14,369
14,2275
14,369
14,2746
14,34
14,1993
14,2673
14,2673
14,296
14,2187
14,1976
14,1805
14,1805
14,1976
14,2760
14,2600
14,2760
14,1976
14,2830
14,924
14,2673
14,125
14,1498
14,2488
14,1324
14,2488
14,759
14,125
14,369
14,2463
15,91
15,1530
15,616
15,1530
15,1060
15,2383
15,1379
15,2383
16,1328
16,528
16,2810
16,1908
16,977
16,828
16,1912
16,2254
16,2836
16,828
16,498
16,2665
16,544
16,498
16,2357
16,772
16,858
16,2487
16,2298
16,2839
16,528
16,746
16,2810
17,1667
17,1180
17,1567
17,1192
17,1469
17,2240
17,2301
17,387
17,1757
17,2418
17,2418
17,307
17,1632
17,398
17,930
17,1666
17,332
17,2048
17,1133
17,116
17,501
17,130
17,420
17,2558
17,2033
17,902
17,2524
17,1955
17,2099
17,130
17,207
17,1349
17,2467
17,2091
17,1810
17,333
17,998
17,698
17,2418
17,1819
17,95
17,1932
17,1133
17,1790
17,2281
17,1567
17,2306
17,549
17,733
17,2471
17,949
17,2467
17,933
17,656
17,2325
17,1567
17,1596
17,55
17,216
17,2731
17,758
17,1819
17,2286
17,2612
17,1554
17,250
17,834
17,95
17,2480
17,2240
17,1296
17,856
17,1266
17,1247
17,998
17,111
17,32
17,238
17,933
17,220
17,2051
17,2325
17,1159
17,367
17,2467
17,123
17,2176
17,999
17,1419
17,1003
17,2791
17,1728
17,1632
17,1551
17,2276
17,2524
17,2259
17,828
17,2290
17,216
17,1667
17,1101
17,332
17,2240
17,1499
17,213
17,1582
17,1982
17,1596
17,2501
17,2731
17,2462
17,332
17,2622
17,2022
17,1554
17,307
17,1567
17,2027
17,1582
17,1567
17,130
17,2748
17,2240
17,130
17,1241
17,2099
17,680
17,2259
17,2624
17,1101
17,130
17,1296
17,1982
17,2716
17,662
17,2176
17,1821
17,1810
17,332
17,1582
17,2467
17,229
17,637
17,130
17,76
17,2754
17,1002
18,1111
19,207
19,969
19,315
19,203
19,2267
19,1891
19,1468
19,2534
19,1553
19,2119
19,1803
19,1244
19,2771
19,1169
19,1049
19,1604
19,2746
19,1899
20,1046
20,1423
20,2159
20,2608
20,2346
20,2837
20,2022
20,463
20,932
20,1606
20,2075
20,2022
20,1210
20,1087
20,772
20,1191
20,1187
21,2785
21,366
21,746
21,1665
21,746
21,2053
21,1767
21,2785
21,366
21,366
21,2632
21,2746
21,2685
21,43
21,1197
21,2119
21,2119
21,1197
21,1767
21,1882
21,366
21,2785
21,1767
21,2206
21,2806
21,2785
21,1665
21,2785
21,2053
22,2147
22,2537
22,889
22,159
22,1111
22,2375
22,1991
22,2746
23,1932
23,583
23,735
23,2768
23,2382
24,370
24,2147
24,2666
24,370
24,411
24,1741
24,847
24,2570
25,848
25,1530
25,1778
25,1111
25,1321
25,1432
25,1987
25,2375
25,1029
25,1111
26,480
26,928
26,2473
26,183
26,536
26,902
26,1472
26,209
26,2505
26,2214
26,1745
26,2473
26,1088
26,872
26,2208
26,209
26,626
26,2292
26,209
26,600
26,290
26,2844
26,308
26,169
26,928
26,2049
26,572
26,943
26,25
26,240
26,1624
26,2849
26,1498
26,548
26,365
26,1318
26,894
26,2258
26,1489
26,810
26,2394
26,928
26,928
26,1294
26,702
27,1574
27,2700
27,2262
27,231
27,1574
27,425
27,2350
27,1180
27,2692
27,2319
27,2604
27,2394
27,2319
27,2509
27,2119
27,536
27,2350
27,518
27,1742
27,625
27,80
27,2456
27,2660
27,425
27,1386
27,858
27,415
27,2347
27,425
27,2002
27,1935
27,2347
27,1321
27,2059
27,2635
27,1796
27,328
27,1574
27,2218
27,2394
28,1270
28,643
28,1486
28,2739
28,1741
28,2052
28,1878
28,1955
28,1270
28,107
28,1022
28,2768
28,2178
28,2804
28,799
28,443
28,1550
28,2739
28,2666
28,1799
28,2178
28,1741
28,2537
28,2178
28,2034
28,1555
29,2763
29,390
30,1472
30,1961
31,2746
31,67
31,67
31,67
31,1955
31,536
31,1825
31,1178
31,1825
31,1498
31,2666
31,2716
31,1825
31,67
31,1358
31,67
31,563
31,2768
31,563
31,480
31,334
31,2005
31,563
31,748
31,2871
31,884
31,1554
31,67
31,67
31,67
31,2050
32,113
32,2830
32,2830
32,2830
32,2830
32,2830
32,1993
32,113
32,113
32,1344
32,986
32,1344
32,986
32,2830
32,2830
33,2254
33,209
33,1111
33,2771
33,1063
33,2160
33,711
33,2254
34,1550
34,512
34,2380
34,2380
34,1955
35,368
35,2059
35,2261
35,1545
35,1873
35,2666
35,1093
35,1388
35,812
35,1046
35,1337
35,1419
35,1208
35,1530
35,2537
35,1955
35,2792
35,2460
35,1955
35,747
35,524
35,243
35,2841
35,217
35,2706
35,2031
35,2519
35,533
35,1120
35,415
35,1210
35,2347
35,1820
35,938
35,42
35,1712
35,1210
35,2632
35,166
35,1636
35,209
35,364
35,642
35,2085
35,2055
35,1093
35,1455
35,2589
35,652
35,1984
35,969
35,1192
35,1073
35,1347
35,2106
35,1991
35,2610
35,644
35,1431
35,1968
35,379
35,1006
35,378
35,1518
35,1047
35,592
35,2420
35,1984
35,1924
35,528
35,939
35,1093
35,2578
35,1073
35,1991
35,1351
